Srcy1,Srcx1,Srcy2,Srcx2,Dsty1,Dstx1,Dsty2,Dstx2
23,494,169,370,31,459,194,325
169,370,323,345,194,325,352,306
323,345,498,26,352,306,410,49
65,514,183,437,67,512,212,402
183,437,424,393,212,402,428,348
424,393,520,237,428,348,508,194
520,237,638,35,508,194,624,22
155,566,265,559,154,548,263,556
265,559,384,512,263,556,390,490
384,512,497,414,390,490,484,410
497,414,823,356,484,410,757,276
823,356,901,44,757,276,987,7
38,668,239,667,79,681,249,658
239,667,355,655,249,658,347,649
355,655,564,656,347,649,541,635
564,656,769,694,541,635,791,696
769,694,1012,645,791,696,1010,667
46,743,342,790,67,756,396,843
342,790,523,816,396,843,526,793
523,816,729,860,526,793,711,851
729,860,906,881,711,851,871,897
906,881,979,1012,871,897,999,1014
46,841,293,900,26,831,307,873
293,900,401,1017,307,873,404,999
