Srcy1,Srcx1,Srcy2,Srcx2,Dsty1,Dstx1,Dsty2,Dstx2
30,283,131,185,26,366,137,257
131,185,176,265,137,257,151,323
176,265,317,84,151,323,335,156
317,84,502,81,335,156,450,233
502,81,540,211,450,233,489,291
540,211,710,116,489,291,719,236
43,342,131,401,38,400,142,509
131,401,170,353,142,509,186,417
170,353,228,422,186,417,266,458
228,422,422,417,266,458,380,471
422,417,550,402,380,471,508,420
550,402,702,434,508,420,582,505
